date,site ,experiment,kelp_pile_num,kelp_L_m,kelp_W_m,ellipse_A_m2,invasive,sarg_L_1,sarg_W_1,sarg1_A,sarg_L_2,sarg_W_2,sarg2_A,sarg_L_3,sarg_W_3,sarg3_A,sarg_L_4,sarg_W_4,sarg4_A,sarg_total,ratio,percent
,Cosign,invasive_wrack,a,1.8,0.67,0.947190185,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,b,2.78,1,2.183406894,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,c,2.16,1.96,3.325061665,yes,0.09,0.03,0.002120575,0,0,0,0,0,0,0,0,0,0.002120575,0.000637755,0.06377551
,Cosign,invasive_wrack,d,1.97,1.54,2.382740948,yes,0.29,0.07,0.015943583,0.05,0.02,0,0,0,0,0,0,0,0.015943583,0.006691278,0.669127826
,Cosign,invasive_wrack,e,1.2,0.61,0.574911456,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,f,0.94,0.61,0.450347307,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,g,1.07,0.6,0.504225621,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,h,2.32,1.78,3.243380256,yes,0.35,0.14,0.03848451,0.28,0.1,0.02,0,0,0,0,0,0,0.05848451,0.018031962,1.803196215
,Cosign,invasive_wrack,i,1.3,1.1,1.123119374,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,j,1.4,0.67,0.736703477,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,1,2.6,1.2,2.45044227,yes,0.25,0.16,0.031415927,0.1,0.05,0,0,0,0,0,0,0,0.031415927,0.012820513,1.282051282
,Cosign,invasive_wrack,2,2.8,1.2,2.638937829,yes,0.5,0.3,0.117809725,0,0,0,0,0,0,0,0,0,0.117809725,0.044642857,4.464285714
,Cosign,invasive_wrack,3,3.1,3.2,7.791149781,yes,1,1.2,0.942477796,0,0,0,0,0,0,0,0,0,0.942477796,0.120967742,12.09677419
,Cosign,invasive_wrack,4,6,0.4,1.884955592,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,5,1.9,1.15,1.716094987,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,6,2.1,0.65,1.072068493,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,7,2.2,1,1.727875959,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,8,2.1,0.8,1.319468915,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosign,invasive_wrack,9,1.7,1.1,1.468694566,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,a,1.35,1,1.060287521,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,b,2,0.85,1.335176878,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,c,2.45,5,9.621127502,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,d,1,1,0.785398163,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,e,1.2,0.7,0.659734457,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,f,2.47,0.74,1.435550763,yes,0.11,0.01,0.000863938,0.12,0.02,0,0,0,0,0,0,0,0.000863938,0.000601816,0.060181639
,W_Marker_Poles,invasive_wrack,g,2.06,1.01,1.634099419,yes,0.13,0.7,0.071471233,0.1,0.02,0,0.17,0.12,0.016022123,0.07,0.04,0.002199115,0.08969247,0.054888013,5.488801307
,W_Marker_Poles,invasive_wrack,1,2.02,1.23,1.951400277,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,2,2.14,1.78,2.991738684,yes,0.15,0.04,0.004712389,0.09,0.01,0,0,0,0,0,0,0,0.004712389,0.001575134,0.157513389
,W_Marker_Poles,invasive_wrack,3,3.46,0.59,1.603311811,no,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,4,1.91,0.76,1.140083974,yes,0.13,0.06,0.006126106,0,0,0,0,0,0,0,0,0,0.006126106,0.005373381,0.53733811
,W_Marker_Poles,invasive_wrack,5,1.68,0.87,1.147937956,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,6,1.58,0.74,0.918287533,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,7,1.98,1.27,1.974962222,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,8,1.09,0.96,0.821840638,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,9,2.74,0.74,1.592473316,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,10,1.38,0.62,0.671986669,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,11,2.53,0.68,1.351199,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,12,2.57,0.41,0.827574045,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,13,1.49,0.86,1.006409207,yes,0.64,0.13,0.065345127,0,0,0,0,0,0,0,0,0,0.065345127,0.064928984,6.492898392